UPC,Category,Subcategory,"Item Description",Size,UOM
"=""30000041307""","Adult Cereal",,"Quaker Instant Grits",36,oz
"=""30000041703""","Adult Cereal",,"Quaker Grits 5min",24,oz
"=""38000202094""","Adult Cereal",,"Kellogg's Frosted Mini Wheats Little Bites Chocolate",23,oz
"=""38000201288""","Adult Cereal",,"Kellogg's Frosted Mini Wheats Pumpkin Spice",22,oz
"=""38000245688""","Adult Cereal",,"Kellogg's Frosted Mini Wheats Cinnamon Roll",22,oz
"=""30000571132""","Adult Cereal",,"Quaker Oatmeal Squares Golden Maple",21,oz
"=""30000320730""","Adult Cereal",,"Quaker Cinnamon Oatmeal Squares",21,oz
"=""30000064030""","Adult Cereal",,"Quaker Brown Sugar Oatmeal Squares",21,oz
"=""30000061107""","Adult Cereal",,"Quaker Life Cereal",21,oz
"=""16000171022""","Adult Cereal",,"General Mills Rice Chex",18,oz
"=""16000171046""","Adult Cereal",,"General Mills Original Kix",18,oz
"=""16000168756""","Adult Cereal",,"General Mills Multi Grain Cheerios",18,oz
"=""16000169623""","Adult Cereal",,"General Mills Honey Kix",18,oz
"=""16000169661""","Adult Cereal",,"General Mills Berry Berry Kix",18,oz
"=""16000171084""","Adult Cereal",,"General Mills Corn Chex",18,oz
"=""30000063408""","Adult Cereal",,"Quaker Life Cereal",15,oz
"=""70552801233""","Adult Cereal",,"Winco Toasted Oats",14,oz
"=""884912359162""","Adult Cereal",,"Post - Honey Bunches of Oats with Almonds",12,oz
"=""884912359155""","Adult Cereal",,"Post - Honey Bunches of Oats Honey Roasted",12,oz
"=""884912359421""","Adult Cereal",,"Post - Honey Bunches of Oats with Maple and Pecans",12,oz
"=""884912377142""","Adult Cereal",,"Post - Honey Bunches of Oats with Vanilla Bunches",12,oz
"=""036800114128""","Adult Cereal",,"Food Club Frosted Shredded Wheat",18,oz
"=""038000249891""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",34,oz
"=""016000163928""","Adult Cereal",,"General Mills Cheerios",21.7,oz
"=""038000224690""","Adult Cereal",,"Kellogg's Special K Banana",12.8,oz
"=""038000224713""","Adult Cereal",,"Kellogg's Special K Banana",18.5,oz
"=""717544116981""","Adult Cereal",,"Sunny Select Oats & More with Almonds",14.5,oz
"=""016000170117""","Adult Cereal",,"General Mills Sesame Street Cinnamon",12,oz
"=""016000170124""","Adult Cereal",,"General Mills Sesame Street Berry",12,oz
"=""884912356178""","Adult Cereal",,"Post Honey Bunches of Oats Honey Roasted",30.5,oz
"=""884912356291""","Adult Cereal",,"Post Honey Bunches of Oats w/ Almonds",30.5,oz
"=""038000231537""","Adult Cereal",,"Kellogg's Rice Krispies",24,oz
"=""016000123151""","Adult Cereal",,"General Mills Cheerios",19.5,oz
"=""036800211629""","Adult Cereal",,"Food Club Crisp Rice",12,oz
"=""098487953131""","Adult Cereal",,"Sunny Select Toasted Oats",14,oz
"=""046567001111""","Adult Cereal",,"Raley's Corn Flakes",18,oz
"=""098487952356""","Adult Cereal",,"Sunny Select Frosted Shredded Wheat",28,oz
"=""011110878700""","Adult Cereal",,"Kroger Corn Flakes",18,oz
"=""011110029065""","Adult Cereal",,"Kroger Original Oats Instant Oatmeal",12,oz
"=""717544126904""","Adult Cereal",,"Sunny Select Instant Oatmeal",11.8,oz
"=""098487953032""","Adult Cereal",,"Sunny Select Frosted Shredded Wheat",18,oz
"=""717544116974""","Adult Cereal",,"Sunny Select Oats & More with Honey",14.5,oz
"=""098487300577""","Adult Cereal",,"Market Essentials Toasted Oats",14,oz
"=""098487300560""","Adult Cereal",,"Market Essentials Strawberry Cream Frosted Shredded Wheat",15.5,oz
"=""036800107472""","Adult Cereal",,"Food Club Original Instant Oatmeal",11.8,oz
"=""011110666727""","Adult Cereal",,"Kroger Instant Grits Butter Flavor",11.85,oz
"=""011110898326""","Adult Cereal",,"Kroger Oat Squares",14.5,oz
"=""011110810113""","Adult Cereal",,"Kroger Nutty Nuggets",20.5,oz
"=""717544100539""","Adult Cereal",,"Sunny Select Bran Flakes",17.3,oz
"=""036800421738""","Adult Cereal",,"Food Club Rice Squares",12,oz
"=""036800110113""","Adult Cereal",,"Food Club Corn Flakes",24,oz
"=""717544100423""","Adult Cereal",,"Sunny Select Corn Flakes",18,oz
"=""036800110175""","Adult Cereal",,"Food Club Corn Flakes",18,oz
"=""036800421745""","Adult Cereal",,"Food Club Corn Squares",12,oz
"=""717544135470""","Adult Cereal",,"Sunny Select Crunchy Rice",12,oz
"=""717544134893""","Adult Cereal",,"Sunny Select Frosted Shredded Wheat",18,oz
"=""036800448025""","Adult Cereal",,"Food Club Crispy Rice",32,oz
"=""717544135463""","Adult Cereal",,"Sunny Select Crunchy Corn",12,oz
"=""717544127925""","Adult Cereal",,"Sunny Select Crispy Rice",12,oz
"=""036800318502""","Adult Cereal",,"Food Club Corn Flakes",32,oz
"=""036800421769""","Adult Cereal",,"Food Club Toasted Oats",12,oz
"=""036800399730""","Adult Cereal",,"Food Club Frosted Shredded Wheat",32,oz
"=""036800291881""","Adult Cereal",,"Food Club Wheat Squares",14,oz
"=""036800285965""","Adult Cereal",,"Food Club Honey & Oats with Almonds",14.5,oz
"=""036800285958""","Adult Cereal",,"Food Club Honey & Oats",14.5,oz
"=""011110878274""","Adult Cereal",,"Kroger Toasted Oats",12,oz
"=""884912320445""","Adult Cereal",,"Post Great Grains Banana Nut Crunch",18,oz
"=""016000487710""","Adult Cereal",,"General Mills Multigrain",18,oz
"=""016000123151""","Adult Cereal",,"General Mills Cheerios",19.5,oz
"=""011110032454""","Adult Cereal",,"Kroger Crispy Rice",12,oz
"=""070552801240""","Adult Cereal",,"WinCo Foods Corn Flakes",18,oz
"=""070552801271""","Adult Cereal",,"WinCo Foods Crispy Rice",12,oz
"=""070552801370""","Adult Cereal",,"WinCo Foods Crunchy Honey & Oats",14.5,oz
"=""070552801387""","Adult Cereal",,"WinCo Foods Crunchy Honey, Oats, and Almonds",14.5,oz
"=""021130285877""","Adult Cereal",,"Signature Select Toasted Oats",12.0,oz
"=""021130152841""","Adult Cereal",,"Signature Select Toasted Oats",18.0,oz
"=""021130282944""","Adult Cereal",,"Signature Select Toasted Oats",28.0,oz
"=""717544100355""","Adult Cereal",,"Sunny Select Creamy Wheat Enriched Farina",28,oz
"=""070552801141""","Adult Cereal",,"WinCo Foods Instant Hot Oatmeal Regular",11.9,oz
"=""070552801257""","Adult Cereal",,"WinCo Foods Bite Sized Frosted Shredded Wheat",18,oz
"=""021130280490""","Adult Cereal",,"Signature Select Crispy Rice",12.0,oz
"=""021130152834""","Adult Cereal",,"Signature Select Nutty Nuggets",20.5,oz
"=""021130281152""","Adult Cereal",,"Signature Select Oats and Almonds",14.5,oz
"=""021130281251""","Adult Cereal",,"Signature Select Oats and More with Honey",14.5,oz
"=""021130282562""","Adult Cereal",,"Signature Select Regular Instant Oatmeal",11.8,oz
"=""021130285860""","Adult Cereal",,"Signature Select Rice Pockets",12.0,oz
"=""021130281534""","Adult Cereal",,"Signature Select Shredded Wheat Frosted Bite Size",18.0,oz
"=""884912126016""","Adult Cereal",,"Post Post Great Grains Crunchy Pecan",16,oz
"=""884912320490""","Adult Cereal",,"Post Post Great Grains Crunchy Pecan",19,oz
"=""884912259363""","Adult Cereal",,"Post Post Honey Bunches of Oats Pecan & Maple Brown Sugar",14.5,oz
"=""030000047606""","Adult Cereal",,"Quaker  Instant Grits Original",12,oz
"=""030000040508""","Adult Cereal",,"Quaker  Instant Grits Original",18,oz
"=""046567001142""","Adult Cereal",,"Raley's Bran Flakes",17.3,oz
"=""046567031798""","Adult Cereal",,"Raley's Corn Biscuits",12,oz
"=""046567011936""","Adult Cereal",,"Raley's Crispy Rice",12,oz
"=""046567007939""","Adult Cereal",,"Raley's Instant Oatmeal Original",11.8,oz
"=""046567014050""","Adult Cereal",,"Raley's Oats With Almonds",14.5,oz
"=""046567014432""","Adult Cereal",,"Raley's Oats with Honey",14.5,oz
"=""046567031804""","Adult Cereal",,"Raley's Rice Biscuits",12,oz
"=""046567031811""","Adult Cereal",,"Raley's Toasted Oats",12,oz
"=""021130280568""","Adult Cereal",,"Safeway Wheat Pockets",14,oz
"=""021130280865""","Adult Cereal",,"Signature Select Bite Size Shredded Wheat",16.4,oz
"=""021130280360""","Adult Cereal",,"Signature Select Bran Flakes",17.3,oz
"=""021130280025""","Adult Cereal",,"Signature Select Corn Flakes",18.0,oz
"=""021130287765""","Adult Cereal",,"Signature Select Corn Pockets",12.0,oz
"=""038000212154""","Adult Cereal",,"Kellogg's Frosted Mini-Wheats Original",27.6,oz
"=""038000199943""","Adult Cereal",,"Kellogg's Rice Krispies",12.0,oz
"=""038000200038""","Adult Cereal",,"Kellogg's Rice Krispies",18.0,oz
"=""038000224713""","Adult Cereal",,"Kellogg's Special K Banana",18.5,oz
"=""038000016110""","Adult Cereal",,"Kellogg's Special K Original",12.0,oz
"=""038000016219""","Adult Cereal",,"Kellogg's Special K Original",18.0,oz
"=""038000196218""","Adult Cereal",,"Kellogg's Special K Protein Honey Almond Ancient Grains",11.0,oz
"=""038000214691""","Adult Cereal",,"Kellogg's Special K Protein Honey Almond Ancient Grains",17.1,oz
"=""038000208553""","Adult Cereal",,"Kellogg's Special K Protein Honey Almond Ancient Grains",33.0,oz
"=""038000200663""","Adult Cereal",,"Kellogg's Special K Protein Original Multi-Grain Touch of Cinnamon",13.3,oz
"=""038000143670""","Adult Cereal",,"Kellogg's Special K Protein Original Multi-Grain Touch of Cinnamon",19.0,oz
"=""011110787088""","Adult Cereal",,"Kroger Frosted Shredded Wheat, Strawberry Cream",16.3,oz
"=""011110876003""","Adult Cereal",,"kroger Honey Crisp Medley",14.5,oz
"=""011110825698""","Adult Cereal",,"Kroger Honey Crisp Medley With Almonds",14.5,oz
"=""011110876096""","Adult Cereal",,"Kroger Rice Bits",12,oz
"=""085239906316""","Adult Cereal",,"Market Pantry Toasted Rice",12,oz
"=""078742181493""","Adult Cereal",,"Great Value Honey Crunch Oat",28.0,oz
"=""078742371689""","Adult Cereal",,"Great Value Instant Oatmeal Original",11.8,oz
"=""078742183954""","Adult Cereal",,"Great Value Rice Squares",12.0,oz
"=""078742181554""","Adult Cereal",,"Great Value Toasted O's",12.0,oz
"=""078742183961""","Adult Cereal",,"Great Value Wheat Squares",14.0,oz
"=""038000596674""","Adult Cereal",,"Kellogg's All-Bran Complete Wheat Bran Flakes",18.0,oz
"=""038000218163""","Adult Cereal",,"Kellogg's Frosted Mini Wheats Bite Sized Filled Mixed Berry",16.5,oz
"=""038000199387""","Adult Cereal",,"Kellogg's Frosted Mini-Wheats Bite Size Blueberry",14.3,oz
"=""038000199400""","Adult Cereal",,"Kellogg's Frosted Mini-Wheats Bite Size Blueberry",22.0,oz
"=""038000199462""","Adult Cereal",,"Kellogg's Frosted Mini-Wheats Bite Size Strawberry",14.3,oz
"=""038000199509""","Adult Cereal",,"Kellogg's Frosted Mini-Wheats Bite Size Strawberry",22.0,oz
"=""038000202117""","Adult Cereal",,"Kellogg's Frosted Mini-Wheats Little Bites",23.0,oz
"=""038000207501""","Adult Cereal",,"Kellogg's Frosted Mini-Wheats Original",32.0,oz
"=""016000275652""","Adult Cereal",,"General Mills Wheaties",15.6,oz
"=""078742122113""","Adult Cereal",,"Great Value Bran Flakes",15.6,oz
"=""078742213286""","Adult Cereal",,"Great Value Corn Flakes",18.0,oz
"=""078742183947""","Adult Cereal",,"Great Value Corn Squares",12.0,oz
"=""078742181530""","Adult Cereal",,"Great Value Crispy Rice",12.0,oz
"=""078742075273""","Adult Cereal",,"Great Value Frosted Shredded Wheat",24.0,oz
"=""078742181486""","Adult Cereal",,"Great Value Honey Crunch Oat",18.0,oz
"=""078742181509""","Adult Cereal",,"Great Value Honey Crunch Oat",18.0,oz
"=""078742181479""","Adult Cereal",,"Great Value Honey Crunch Oat",28.0,oz
"=""041512093357""","Adult Cereal",,"First Street Instant Oatmeal Original",11.8,oz
"=""041512082931""","Adult Cereal",,"First Street Oats & More with Almonds",14.5,oz
"=""036800448643""","Adult Cereal",,"Food Club Creamy Wheat Farina Pouch",28,oz
"=""016000492349""","Adult Cereal",,"General Mills Blueberry Chex",12.0,oz
"=""016000103719""","Adult Cereal",,"General Mills Cinnamon Chex",12.0,oz
"=""016000137820""","Adult Cereal",,"General Mills Cinnamon Chex",19.6,oz
"=""016000157651""","Adult Cereal",,"General Mills Fiber One Honey Clusters",17.50,oz
"=""016000487987""","Adult Cereal",,"General Mills Vanilla Chex",12.1,oz
"=""884912113139""","Adult Cereal",,"Post  Bran Flakes",16,oz
"=""030000063545""","Adult Cereal",,"Quaker Life",13,oz
"=""030000061190""","Adult Cereal",,"Quaker Life",18,oz
"=""030000012109""","Adult Cereal",,"Quaker Oatmeal, Instant",11.8,oz
"=""043000112403""","Adult Cereal",,"Post Honey Bunches of Oats",16,oz
"=""884912014276""","Adult Cereal",,"Post Honey Bunches of Oats",18,oz
"=""043000112250""","Adult Cereal",,"Post Honey Bunches of Oats",21,oz
"=""884912006806""","Adult Cereal",,"Post Honey Bunches of Oats",23,oz
"=""884912006813""","Adult Cereal",,"Post Honey Bunches of Oats",23,oz
"=""884912249272""","Adult Cereal",,"Post Honey Bunches of Oats",28,oz
"=""884912249265""","Adult Cereal",,"Post Honey Bunches of Oats",28,oz
"=""884912017864""","Adult Cereal",,"Post Honey Bunches of Oats",18,oz
"=""043000112243""","Adult Cereal",,"Post Honey Bunches of Oats",21,oz
"=""884912014290""","Adult Cereal",,"Post Honey Bunches of Oats",24.5,oz
"=""884912014306""","Adult Cereal",,"Post Honey Bunches of Oats",24.5,oz
"=""884912003928""","Adult Cereal",,"Post Honey Bunches of Oats",27,oz
"=""884912003911""","Adult Cereal",,"Post Honey Bunches of Oats",27,oz
"=""884912014252""","Adult Cereal",,"Post Honey Bunches of Oats",14.5,oz
"=""884912105103""","Adult Cereal",,"Post Grape Nuts",16,oz
"=""884912004710""","Adult Cereal",,"Post Grape Nuts",20.5,oz
"=""884912105219""","Adult Cereal",,"Post Grape Nuts",24,oz
"=""884912004727""","Adult Cereal",,"Post Grape Nuts",29,oz
"=""043000105405""","Adult Cereal",,"Post Grape Nuts",32,oz
"=""884912105400""","Adult Cereal",,"Post Grape Nuts",32,oz
"=""884912014245""","Adult Cereal",,"Post Honey Bunches of Oats",14.5,oz
"=""043000112304""","Adult Cereal",,"Post Honey Bunches of Oats",16,oz
"=""884912014269""","Adult Cereal",,"Post Honey Bunches of Oats",18,oz
"=""042400001058""","Adult Cereal",,"Malt O Meal Original Hot Wheat",28,oz
"=""042400016045""","Adult Cereal",,"MOM Oat Revolution  Apples & Cinnamon",12.3,oz
"=""042400015932""","Adult Cereal",,"MOM Oat Revolution  Classic",11.6,oz
"=""042400017912""","Adult Cereal",,"MOM Oat Revolution  Maple Brown Sugar",15.1,oz
"=""042400016922""","Adult Cereal",,"Mom's Best Naturals Natural Quick Oats",16,oz
"=""013130006118""","Adult Cereal",,"Nabisco Cream of Wheat",14,oz
"=""013130006026""","Adult Cereal",,"Nabisco Cream of Wheat",28,oz
"=""884912116505""","Adult Cereal",,"Post Banana Nut Crunch",15.5,oz
"=""042400109037""","Adult Cereal",,"Malt O Meal Frosted Strawberry Cream Mini Spooners",18,oz
"=""042400070993""","Adult Cereal",,"Malt O Meal Frosted Strawberry Cream Mini Spooners",18,oz
"=""042400062370""","Adult Cereal",,"Malt O Meal Frosted Strawberry Cream Mini Spooners",36,oz
"=""042400001096""","Adult Cereal",,"Malt O Meal Original Hot Wheat",18,oz
"=""042400001041""","Adult Cereal",,"Malt O Meal Original Hot Wheat",24,oz
"=""042400055075""","Adult Cereal",,"Malt O Meal Farina, Hot",24,oz
"=""042400112747""","Adult Cereal",,"Malt O Meal Frosted Mini Spooners",13,oz
"=""042400108177""","Adult Cereal",,"Malt O Meal Frosted Mini Spooners",15,oz
"=""042400025238""","Adult Cereal",,"Malt O Meal Frosted Mini Spooners",15,oz
"=""042400026815""","Adult Cereal",,"Malt O Meal Frosted Mini Spooners",15,oz
"=""042400025542""","Adult Cereal",,"Malt O Meal Frosted Mini Spooners",18,oz
"=""042400071983""","Adult Cereal",,"Malt O Meal Frosted Mini Spooners",18,oz
"=""042400098003""","Adult Cereal",,"Malt O Meal Frosted Mini Spooners",23,oz
"=""042400057444""","Adult Cereal",,"Malt O Meal Frosted Mini Spooners",27,oz
"=""042400925019""","Adult Cereal",,"Malt O Meal Frosted Mini Spooners",36,oz
"=""042400178002""","Adult Cereal",,"Malt O Meal Frosted Strawberry Cream Mini Spooners",15,oz
"=""038000318344""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",24,oz
"=""038000470820""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",24,oz
"=""038000049200""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",24.3,oz
"=""042400178019""","Adult Cereal",,"Malt O Meal Blueberry Mini Spooners",15,oz
"=""042400142997""","Adult Cereal",,"Malt O Meal Blueberry Mini Spooners",18,oz
"=""042400145998""","Adult Cereal",,"Malt O Meal Blueberry Mini Spooners",18,oz
"=""042400146322""","Adult Cereal",,"Malt O Meal Blueberry Mini Spooners",18,oz
"=""042400181545""","Adult Cereal",,"Malt O Meal Blueberry Mini Spooners",36,oz
"=""042400047483""","Adult Cereal",,"Malt O Meal Creamy Hot Wheat",24,oz
"=""042400107934""","Adult Cereal",,"Malt O Meal Crispy Rice",12,oz
"=""042400058007""","Adult Cereal",,"Malt O Meal Crispy Rice",18,oz
"=""042400070887""","Adult Cereal",,"Malt O Meal Crispy Rice",18,oz
"=""042400905011""","Adult Cereal",,"Malt O Meal Crispy Rice",36,oz
"=""038000001109""","Adult Cereal",,"Kellogg's Corn Flakes",12,oz
"=""038000001208""","Adult Cereal",,"Kellogg's Corn Flakes",18,oz
"=""038000001277""","Adult Cereal",,"Kellogg's Corn Flakes",24,oz
"=""038000256479""","Adult Cereal",,"Kellogg's Corn Flakes",24,oz
"=""038000482809""","Adult Cereal",,"Kellogg's Corn Flakes",36,oz
"=""038000035302""","Adult Cereal",,"Kellogg's Crispix",12,oz
"=""038000924224""","Adult Cereal",,"Kellogg's Crispix",18,oz
"=""038000300011""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",15.3,oz
"=""038000199554""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",15.9,oz
"=""038000027208""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",16,oz
"=""038000199349""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",18,oz
"=""038000318290""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",18,oz
"=""038000576195""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",18,oz
"=""038000049002""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",19,oz
"=""038000281686""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",19,oz
"=""038000027277""","Adult Cereal",,"Kellogg's Frosted Mini Wheats",20.4,oz
"=""016000625709""","Adult Cereal",,"General Mills Kix",18,oz
"=""016000487956""","Adult Cereal",,"General Mills Rice Chex Gluten Free",18,oz
"=""016000487949""","Adult Cereal",,"General Mills Rice Chex Gluten Free",12,oz
"=""016000275638""","Adult Cereal",,"General Mills Total Whole Grain",16,oz
"=""016000275492""","Adult Cereal",,"General Mills Wheat Chex",14,oz
"=""016000301290""","Adult Cereal",,"General Mills MultiGrain Cheerios Gluten Free",36,oz
"=""016000264243""","Adult Cereal",,"General Mills Cheerios",36,oz
"=""883921118999""","Adult Cereal",,"Good 'n Hearty Instant Oatmeal, Apple and Cinnamon",14,oz
"=""883921118975""","Adult Cereal",,"Good 'n Hearty Instant Oatmeal, Maple Brown Sugar",13,oz
"=""883921118951""","Adult Cereal",,"Good 'n Hearty Instant Oatmeal, Regular",12,oz
"=""038000231452""","Adult Cereal",,"Kellogg's Corn Flakes",24,oz
"=""016000487697""","Adult Cereal",,"General Mills Cheerios Multi Grains Gluten Free",12,oz
"=""016000427242""","Adult Cereal",,"General Mills Wheat Chex",19,oz
"=""016000487963""","Adult Cereal",,"General Mills Corn Chex Gluten Free",12,oz
"=""016000487970""","Adult Cereal",,"General Mills Corn Chex Gluten Free",18,oz
"=""016000139732""","Adult Cereal",,"General Mills Honey Kix",18,oz
"=""016000275676""","Adult Cereal",,"General Mills Kix",12,oz
"=""016000663701""","Adult Cereal",,"General Mills Kix",13,oz
"=""072400062209""","Adult Cereal",,"B & G Cream of Rice",12,oz
"=""013130006989""","Adult Cereal",,"B & G Cream of Rice",14,oz
"=""072400000256""","Adult Cereal",,"B & G Cream of Wheat",18,oz
"=""013130006125""","Adult Cereal",,"B & G Cream of Wheat",28,oz
"=""13130006224""","Adult Cereal",,"B & G Cream of Wheat",28,oz
"=""013130060257""","Adult Cereal",,"B & G Cream of Wheat Original",12,oz
"=""018000630806""","Adult Cereal",,"Farina Mills Farina Original",14,oz
"=""016000139756""","Adult Cereal",,"General Mills Berry Berry Kix",18,oz
"=""016000487727""","Adult Cereal",,"General Mills Cheerios Gluten Free",12,oz
"=""016000275287""","Adult Cereal",,"General Mills Cheerios Gluten Free",18,oz
"=""016000125414""","Adult Cereal",,"General Mills Cheerios Gluten Free",20,oz
